Average Reservoir Pressure (psi),Cumulative Gas (CO2) Injection (SCF),Cumulative Gas (CO2) Production (SCF),Gas Injection Rate (SCF/day),Water Injection Rate (bbl/day),Cumulative Water Injection (bbl),Cumulative Water Production (bbl),Average Temperature (F),Gas-Oil Ratio SC (SCF/bbl),Water Cut (%),Cumulative Oil Production (bbl),Oil Recovery Factor (%),Cumulative CO2 Stored (SCF)
3501.474365,0,2419222.75,0,0,0,322150.5313,186,254.8100891,0.268622339,1746305.375,3.042154789,0
3501.435547,0,2436706,0,0,0,327405.3438,186,254.9253388,0.284698784,1759508.125,3.065154553,0
3501.432129,0,2451912,0,0,0,332861.125,186,254.9564819,0.289386898,1772905,3.08849287,0
3501.448975,0,2468597,0,0,0,337703.2813,186,254.9017944,0.282718062,1785190,3.109894037,0
3501.44751,0,2484544,0,0,0,341908.8438,186,254.8958435,0.282362491,1795878.75,3.12851429,0
3501.449951,0,2503263.5,0,0,0,346486.9375,186,254.8787384,0.28053835,1807619.375,3.148967505,0
3501.448731,0,2520537.75,0,0,0,350874.1563,186,254.8795624,0.281078309,1818840.875,3.168515444,0
3501.427002,0,2540271.75,0,0,0,356249.3438,186,254.9482269,0.290697038,1831956.5,3.191363335,0
3501.423828,0,2557608.25,0,0,0,361273.7813,186,254.9663086,0.293595731,1844045.25,3.212423086,0
3501.405762,0,2571337,0,0,0,367189.5313,186,255.0151062,0.300536633,1857813.625,3.236407995,0
3501.403565,0,2584289.5,0,0,0,372443.5,186,255.0296936,0.303024471,1869898,3.257459879,0
3501.461182,0,2601634,0,0,0,376110.0938,186,254.8070068,0.274217159,1879602.625,3.274365425,0
3501.460938,0,2616854,0,0,0,379475.25,186,254.7617035,0.268194109,1888784.875,3.290361643,0
3501.420654,0,2633832.5,0,0,0,384415.3438,186,254.9093323,0.28852874,1900966.5,3.311582565,0
3501.418457,0,2650225.5,0,0,0,388856.3125,186,254.9484253,0.29402405,1911629.75,3.330158234,0
3501.414795,0,2667147.75,0,0,0,393851.375,186,254.9590912,0.295872658,1923517,3.350866795,0
3501.412598,0,2683073,0,0,0,398703.5313,186,254.9659882,0.297231704,1934989.5,3.370852232,0
3501.4104,0,2700338.25,0,0,0,403717.0938,186,254.9633789,0.297391802,1946834.125,3.391486645,0
3501.407715,0,2714397.25,0,0,0,408456.8125,186,254.9676361,0.298405498,1957977.875,3.410899639,0
3501.401611,0,2732995.75,0,0,0,413664.4688,186,254.9875946,0.301473826,1970044.375,3.431920052,0
3501.399414,0,2750836.75,0,0,0,417932.3125,186,254.9956055,0.302926213,1979865.125,3.449028254,0
3501.378662,0,2768508.25,0,0,0,423782.4688,186,255.0578156,0.31131959,1992806.625,3.471572876,0
